depth_km,abundance,period
0.8040,76,1
0.8080,161,2
0.8090,39,2
0.8480,410,1
0.8530,177,2
0.9600,695,1
0.9770,352,1
0.9820,674,1
0.9850,624,1
0.9860,736,1
1.0000,332,2
1.0160,529,1
1.0170,355,1
1.0240,178,1
1.0250,60,1
1.0270,276,1
1.0360,54,1
1.0530,264,2
1.0650,103,2
1.1000,347,1
1.1100,168,2
1.1440,205,2
1.2000,1230,2
1.2050,100,1
1.2120,332,2
1.2170,636,1
1.2570,665,1
1.2630,205,1
1.2650,392,1
1.2720,141,1
1.2840,567,1
1.3000,185,2
1.3120,402,1
1.3600,522,1
1.3680,72,2
1.3790,212,1
1.3900,421,1
1.4300,233,2
1.4400,249,1
1.4480,1026,1
1.4520,185,1
1.4620,243,2
1.5000,80,2
1.5060,488,1
1.5190,151,2
1.5210,26,2
1.5240,1003,1
1.5270,680,1
1.5330,225,1
1.5410,537,2
1.5870,639,1
1.6000,168,1
1.6420,271,2
1.6480,31,2
1.6500,315,1
1.6770,135,1
1.7000,376,1
1.7200,669,1
1.7420,191,1
1.7890,303,1
1.7900,467,1
1.8450,44,1
1.8670,387,1
1.8720,320,1
1.8840,161,1
1.9000,173,1
1.9090,166,2
1.9270,49,1
1.9320,534,1
1.9440,5,1
1.9460,105,2
1.9750,235,1
1.9870,267,1
1.9930,117,1
2.0150,147,1
2.0160,136,2
2.0580,107,2
2.0780,228,1
2.1140,108,2
2.1220,469,1
2.1720,211,1
2.2040,39,2
2.2300,301,1
2.2870,155,2
2.2920,136,2
2.3970,341,1
2.4100,240,2
2.4200,138,1
2.4340,90,2
2.4500,90,2
2.4620,143,2
2.4770,291,1
2.4860,234,1
2.4870,192,1
2.5000,269,2
2.5040,227,2
2.5300,196,1
2.5720,71,2
2.6450,217,1
2.6700,242,1
2.7370,121,1
2.8550,133,1
2.8750,174,1
2.9700,155,1
3.0480,150,2
3.0660,61,1
3.0890,187,1
3.0990,119,2
3.1260,55,2
3.1380,71,2
3.4850,57,1
3.6390,84,2
3.6770,5,1
3.7530,100,1
3.8100,25,1
3.9000,88,1
3.9850,35,1
3.9950,62,1
4.0010,152,2
4.0160,17,1
4.0200,130,2
4.0560,27,1
4.0620,11,1
4.0730,37,1
4.1180,35,1
4.1270,54,2
4.2220,64,1
4.2260,26,2
4.2420,2,1
4.2450,56,1
4.2920,47,1
4.2980,31,2
4.3200,4,1
4.3750,23,1
4.5100,12,1
4.5650,26,1
4.7650,10,2
4.7870,35,1
4.8000,105,1
4.8100,12,2
4.8110,7,2
4.8120,4,2
4.8120,10,2
4.8400,20,2
4.8420,13,1
4.8460,24,1
4.8460,38,1
4.8650,29,1
